0.00,0.84
0.01,0.16
0.02,0.14
0.03,0.70
0.04,0.70
0.05,0.70
0.06,0.70
0.07,0.70
0.08,0.70
0.09,0.70
0.10,0.70
0.11,0.70
0.12,0.70
0.13,0.70
0.14,0.70
0.15,0.70
0.16,0.70
0.17,0.70
0.18,0.70
0.19,0.70
0.20,0.70
0.21,0.70
0.22,0.70
0.23,0.70
0.24,0.70
0.25,0.70
0.26,0.70
0.27,0.70
0.28,0.70
0.29,0.70
0.30,0.70
0.31,0.70
0.32,0.70
0.33,0.70
0.34,0.70
0.35,0.70
0.36,0.70
0.37,0.70
0.38,0.70
0.39,0.70
0.40,0.70
0.41,0.70
0.42,0.70
0.43,0.70
0.44,0.70
0.45,0.70
0.46,0.70
0.47,0.70
0.48,0.70
0.49,0.70
0.50,0.70
0.51,0.70
0.52,0.70
0.53,0.70
0.54,0.70
0.55,0.70
0.56,0.70
0.57,0.70
0.58,0.70
0.59,0.70
0.60,0.70
0.61,0.70
0.62,0.70
0.63,0.70
0.64,0.70
0.65,0.70
0.66,0.70
0.67,0.70
0.68,0.70
0.69,0.70
0.70,0.70
0.71,0.70
0.72,0.70
0.73,0.70
0.74,0.70
0.75,0.70
0.76,0.70
0.77,0.70
0.78,0.70
0.79,0.70
0.80,0.70
0.81,0.70
0.82,0.70
0.83,0.70
0.84,0.70
0.85,0.70
0.86,0.70
0.87,0.70
0.88,0.70
0.89,0.70
0.90,0.70
0.91,0.70
0.92,0.70
0.93,0.70
0.94,0.70
0.95,0.70
0.96,0.70
0.97,0.70
0.98,0.70
0.99,0.70
1.00,0.70
1.01,0.70
1.02,0.70
1.03,0.70
1.04,0.70
1.05,0.70
1.06,0.70
1.07,0.70
1.08,0.70
1.09,0.70
1.10,0.70
1.11,0.70
1.12,0.70
1.13,0.70
1.14,0.70
1.15,0.70
1.16,0.70
1.17,0.70
1.18,0.70
1.19,0.70
1.20,0.70
1.21,0.70
1.22,0.70
1.23,0.70
1.24,0.70
1.25,0.70
1.26,0.70
1.27,0.70
1.28,0.70
1.29,0.70
1.30,0.70
1.31,0.70
1.32,0.70
1.33,0.70
1.34,0.70
1.35,0.70
1.36,0.70
1.37,0.70
1.38,0.70
1.39,0.70
1.40,0.70
1.41,0.70
1.42,0.70
1.43,0.70
1.44,0.70
1.45,0.70
1.46,0.70
1.47,0.70
1.48,0.70
1.49,0.70
1.50,0.70
1.51,0.70
1.52,0.70
1.53,0.70
1.54,0.70
1.55,0.70
1.56,0.70
1.57,0.70
1.58,0.70
1.59,0.70
1.60,0.70
1.61,0.70
1.62,0.70
1.63,0.70
1.64,0.70
1.65,0.70
1.66,0.70
1.67,0.70
1.68,0.70
1.69,0.70
1.70,0.70
1.71,0.70
1.72,0.70
1.73,0.70
1.74,0.70
1.75,0.70
1.76,0.70
1.77,0.70
1.78,0.70
1.79,0.70
1.80,0.70
1.81,0.70
1.82,0.70
1.83,0.70
1.84,0.70
1.85,0.70
1.86,0.70
1.87,0.71
1.88,0.70
1.89,0.70
1.90,0.71
1.91,0.71
1.92,0.71
1.93,0.71
1.94,0.71
1.95,0.71
1.96,0.71
1.97,0.71
1.98,0.71
1.99,0.71
2.00,0.71
2.01,0.71
2.02,0.71
2.03,0.71
2.04,0.70
2.05,0.71
2.06,0.70
2.07,0.70
2.08,0.71
2.09,0.70
2.10,0.70
2.11,0.70
2.12,0.70
2.13,0.70
2.14,0.70
2.15,0.70
2.16,0.71
2.17,0.71
2.18,0.71
2.19,0.71
2.20,0.71
2.21,0.70
2.22,0.71
2.23,0.70
2.24,0.71
2.25,0.71
2.26,0.71
2.27,0.71
2.28,0.71
2.29,0.71
2.30,0.71
2.31,0.71
2.32,0.71
2.33,0.71
2.34,0.71
2.35,0.71
2.36,0.71
2.37,0.71
2.38,0.71
2.39,0.71
2.40,0.71
2.41,0.71
2.42,0.71
2.43,0.71
2.44,0.71
2.45,0.71
2.46,0.71
2.47,0.70
2.48,0.70
2.49,0.68
2.50,0.64
2.51,0.62
2.52,0.60
2.53,0.58
2.54,0.56
2.55,0.54
2.56,0.52
2.57,0.50
2.58,0.48
2.59,0.47
2.60,0.45
2.61,0.44
2.62,0.43
2.63,0.43
2.64,0.42
